missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha
LANDSAT_7_2001-06-12,77309.54637354845,217.1447781314764,66326.01031191456,270.2362989281068,10071.762940040488,424.39204453442414,77102.78693711074
LANDSAT_7_2001-06-28,77309.54637354845,29828.278194790182,6709.854296877523,405.4121263985954,40157.736335143105,208.26542033546949,77102.78693711074
LANDSAT_7_2001-07-14,77309.54637354844,76756.8226236852,67.07477766413918,3.456820722673004,480.0058198774591,2.186331599121093,77102.78693711074
LANDSAT_7_2001-08-31,77309.54637354845,34724.411960367965,38930.323862817706,331.02636013333546,2962.606394895407,361.17779533351995,77102.78693711074
LANDSAT_7_2001-10-02,77309.54637354845,6730.838517342068,44520.063472034264,1171.7123238228648,24747.7536789292,139.17838142026153,77102.78693711074
LANDSAT_7_2001-11-03,77309.54637354845,374.40737855949294,69508.7376771362,505.81498109183644,5938.837547343001,981.7487894159292,77102.78693711074
LANDSAT_7_2001-11-19,77309.54637354844,54964.35313093899,19354.520280801426,147.16868893582185,2564.848533459973,278.6557394089563,77102.78693711074
LANDSAT_7_2001-12-21,77309.54637354844,76944.77177268564,0.035997245483398436,139.77186128631269,203.2906529260265,21.67608940490723,77102.78693711074
LANDSAT_7_2002-01-06,77309.54637354845,49615.46420224607,24934.45259842815,141.2407005607194,2374.1071269174445,244.28174539399032,77102.78693711074
LANDSAT_7_2002-01-22,77309.54637354845,77296.21724707184,0.0,6.410224148696003,5.353370109252938,1.5655322186279288,77102.78693711074
LANDSAT_7_2002-02-07,77309.54637354845,28176.91820146235,21884.790700160156,270.6120128782844,26841.60033629734,135.62512275285584,77102.78693711074
LANDSAT_7_2002-03-11,77309.54637354845,64957.74387641395,1402.9868622057888,0.1980548767089844,10947.789294568825,0.8282854815673828,77102.78693711074
LANDSAT_7_2002-03-27,77309.54637354844,23766.318678173175,23934.55648824626,28.15435840117808,29569.236903600824,11.279945125555304,77102.78693711074
LANDSAT_7_2002-04-12,77309.54637354845,3882.505657197995,64438.32573259572,1146.8499580295365,7641.755566977607,200.1094587470821,77102.78693711074
LANDSAT_7_2002-05-14,77309.54637354845,5092.946269358713,59530.76995834039,2542.0813634572332,9032.48656886204,1111.2622135288061,77102.78693711074
LANDSAT_7_2002-05-30,77309.54637354845,35015.73934118078,15018.77747431612,1428.9031163472719,25473.5637571271,372.5626845767169,77102.78693711074
LANDSAT_7_2002-06-15,77309.54637354845,56816.14306622684,15824.069447954218,265.71438300104404,4376.934939085388,26.684537278516576,77102.78693711074
LANDSAT_7_2002-07-01,77309.54637354845,21454.323280004457,39929.321415542174,150.85065773528902,15546.10894831156,228.9420719532363,77102.78693711074
LANDSAT_7_2002-07-17,77309.54637354845,47728.457826294456,8162.397986976665,13.017263750394934,21389.578123828087,16.09517269699516,77102.78693711074
LANDSAT_7_2002-08-02,77309.54637354845,2684.8559347275304,70292.07526239217,348.9130397036461,3357.8030968768458,625.8990398494311,77102.78693711074
LANDSAT_7_2002-08-18,77309.54637354844,27489.163696643496,45356.9177395337,522.6211386957876,3619.0904243501313,321.753374325051,77102.78693711074
LANDSAT_7_2002-09-03,77309.54637354844,6.7489297997711795,72273.58361151823,258.72695115251327,4036.6057247894037,733.8811562883011,77102.78693711074
LANDSAT_7_2002-09-19,76448.36167728035,69690.52406025262,5288.306819946903,26.32502019711482,1421.2384289418987,21.96734794114774,77102.78693711074
LANDSAT_7_2002-10-05,77309.54637354845,278.791082136718,70309.39091525802,633.1558331982205,4476.357522823699,1611.8510201325457,77102.78693711074
LANDSAT_7_2002-10-21,76189.03292731,76178.30884484902,3.7727939624023423,0.26112231628417965,6.339002916259767,0.3511632659912109,77102.78693711074
LANDSAT_7_2002-11-06,77309.54637354845,71912.02786185898,3524.6683486240217,3.622173327191521,1862.4804530065321,6.74753672910204,77102.78693711074
LANDSAT_7_2002-11-22,77309.54637354845,73119.9838786716,2565.5104141039346,10.850282155910095,1607.230638427044,5.97116019006587,77102.78693711074
LANDSAT_7_2002-12-08,77309.54637354845,24932.435631646596,36019.328006669486,259.54652421800995,15935.214728541812,163.02148247201248,77102.78693711074
LANDSAT_7_2002-12-24,77309.54637354845,69272.52397129676,2394.2412332824883,61.59477962548574,5546.2988520471035,34.887537295204325,77102.78693711074
LANDSAT_7_2003-01-09,77309.54637354845,29242.802842696372,45758.35513071547,208.82060380020195,1906.299580953477,193.26821538151742,77102.78693711074
LANDSAT_7_2003-01-25,75605.04849532238,75605.04849532238,0.0,0.0,0.0,0.0,77102.78693711074
LANDSAT_7_2003-02-10,77309.54637354845,58391.65237679188,13434.879804537171,17.352480720506854,5444.712856048737,20.948855447753914,77102.78693711074
LANDSAT_7_2003-02-26,77309.54637354844,62295.5538362625,92.70891549865726,20.731685516931865,14896.751740796026,3.800195470786899,77102.78693711074
LANDSAT_7_2003-03-30,77309.54637354845,76855.28025572687,0.04501835327148438,0.3601335815429688,451.15996977233806,2.7009961145019536,77102.78693711074
LANDSAT_7_2003-04-15,77309.54637354844,71347.71249502533,991.7603185631652,308.600192315927,4658.760652559973,2.71271508025046,77102.78693711074
LANDSAT_7_2003-05-01,77309.54637354845,8086.898584745657,43864.32376727039,1558.0038952216291,22848.00723716566,952.3128891427581,77102.78693711074
