missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other,area_ha
Sentinel-2A_2022-01-11,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-13,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-14,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-16,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-18,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-19,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-21,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-23,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-24,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2B_2022-01-26,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-28,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-01-29,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-01-31,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-02,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-03,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-05,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-07,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-08,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-10,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-12,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-13,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-15,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-17,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-18,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-20,69728.66471654903,51005.243773490205,18723.420943058827,0.0,0.0,0.0,0.0,77102.78693711074
