"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_7",2002-05-14,"","","",2,"2627; 2628"
"LANDSAT_7",2009-07-04,"","","",2,"2627; 2628"
"LANDSAT_7",2000-11-16,"","","",2,"2627; 2628"
"LANDSAT_7",2003-08-21,"","","",2,"2627; 2628"
"LANDSAT_5",1997-08-12,"","","",1,"2627"
"LANDSAT_5",1988-07-02,"","","",2,"2627; 2628"
"LANDSAT_7",1999-11-14,"","","",2,"2627; 2628"
"LANDSAT_7",2010-04-18,"","","",2,"2627; 2628"
"LANDSAT_7",2005-11-14,"","","",2,"2627; 2628"
"LANDSAT_5",2003-04-23,"","","",2,"2627; 2628"
"LANDSAT_7",2011-07-26,"","","",2,"2627; 2628"
"LANDSAT_7",2018-06-11,"","","",2,"2627; 2628"
"LANDSAT_8",2016-09-17,"","","",1,"2627"
"LANDSAT_5",2011-05-31,"","","",2,"2627; 2628"
"LANDSAT_7",2018-04-24,"","","",2,"2627; 2628"
"LANDSAT_8",2022-08-01,"","","",1,"2627"
"LANDSAT_5",2008-06-07,"","","",2,"2627; 2628"
"LANDSAT_5",1991-05-08,"","","",2,"2627; 2628"
"LANDSAT_5",2004-06-28,"","","",2,"2627; 2628"
"LANDSAT_7",2012-08-13,"","","",2,"2627; 2628"
"LANDSAT_5",1993-09-18,"","","",2,"2627; 2628"
"LANDSAT_7",2010-07-23,"","","",2,"2627; 2628"
"LANDSAT_7",2002-04-12,"","","",2,"2627; 2628"
"LANDSAT_9",2022-07-24,"","","",2,"2627; 2628"
"LANDSAT_5",1990-07-08,"","","",2,"2627; 2628"
"LANDSAT_5",1985-06-08,"","","",1,"2627"
"LANDSAT_5",1986-04-24,"","","",1,"2628"
"LANDSAT_8",2022-06-30,"","","",2,"2627; 2628"
"LANDSAT_7",2022-07-30,"","","",2,"2627; 2628"
"LANDSAT_7",2003-09-22,"","","",2,"2627; 2628"
"LANDSAT_5",2002-09-11,"","","",2,"2627; 2628"
"LANDSAT_8",2016-11-20,"","","",2,"2627; 2628"
"LANDSAT_8",2013-07-07,"","","",2,"2627; 2628"
"LANDSAT_5",2008-05-06,"","","",2,"2627; 2628"
"LANDSAT_7",1999-07-25,"","","",2,"2627; 2628"
"LANDSAT_5",1986-11-02,"","","",2,"2627; 2628"
"LANDSAT_5",2001-07-22,"","","",1,"2628"
"LANDSAT_7",2005-08-10,"","","",2,"2627; 2628"
"LANDSAT_5",2010-11-20,"","","",2,"2627; 2628"
"LANDSAT_8",2014-06-24,"","","",1,"2628"
"LANDSAT_7",2019-08-01,"","","",2,"2627; 2628"
"LANDSAT_5",1992-06-27,"","","",2,"2627; 2628"
"LANDSAT_7",2018-11-02,"","","",2,"2627; 2628"
"LANDSAT_7",2007-09-01,"","","",2,"2627; 2628"
"LANDSAT_8",2019-08-09,"","","",2,"2627; 2628"
"LANDSAT_5",2005-09-03,"","","",2,"2627; 2628"
"LANDSAT_7",2020-08-19,"","","",2,"2627; 2628"
"LANDSAT_5",1991-04-06,"","","",2,"2627; 2628"
"LANDSAT_5",1993-11-21,"","","",2,"2627; 2628"
"LANDSAT_7",2014-04-29,"","","",1,"2627"
"LANDSAT_8",2018-07-05,"","","",2,"2627; 2628"
"LANDSAT_5",2005-07-01,"","","",2,"2627; 2628"
"LANDSAT_7",2022-06-09,"","","",2,"2627; 2628"
"LANDSAT_7",2001-10-18,"","","",1,"2628"
